"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate"	"diet"	"time"	"diet:time"	0.0034802752537241	0.0148502774052032	3.19807516098169e-05	0.0335816431469229	3.19807516098169e-05	0.0201224770349651	"abundance"	140	140
"PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria."	"time"	"time"	"time"	0.0256888301194717	0.0114809524051864	3.93483280775042e-05	0.0401541375003872	3.93483280775042e-05	0.0243993850017985	"abundance"	140	140
"SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-0.345332549196458	0.0893821332578111	3.891026530356e-05	0.0401541375003872	7.78190165983741e-05	0.0438100584760268	"abundance"	140	128
"PWY.6527..stachyose.degradation.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-0.373106900728462	0.096281691752649	4.14660608138995e-05	0.0417275273640316	8.29304021935996e-05	0.045490515234043	"abundance"	140	128
"PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-0.503346990277524	0.126655661729455	4.37580716754482e-05	0.0428438827726071	8.75142285820597e-05	0.0468047973014001	"abundance"	140	111
"PWY.6124..inosine.5..phosphate.biosynthesis.II"	"diet"	"time"	"diet:time"	0.00154030755198255	0.0147589941669793	4.34940047164822e-05	0.0428438827726071	4.34940047164822e-05	0.026584778368563	"abundance"	140	140
"COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis"	"diet"	"time"	"diet:time"	0.00553554582204383	0.0157145517527987	4.50365686281984e-05	0.0435077272451665	4.50365686281984e-05	0.0271399243003675	"abundance"	140	140
"UNINTEGRATED"	"diet"	"diet"	"diet"	0.00622160210890339	0.00460864089032581	4.61699119969072e-05	0.0440157211029463	4.61699119969072e-05	0.0274364702041621	"abundance"	140	140
"GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..g__Eubacterium.s__Eubacterium_ramulus"	"diet"	"diet"	"diet"	-0.852390923986121	0.210475581187601	5.12542279170724e-05	0.0482282315519943	0.000102505828838265	0.0541458566996793	"prevalence"	140	98
"PWY66.429..fatty.acid.biosynthesis.initiation..mitochondria..g__Blautia.s__Blautia_sp"	"diet"	"time"	"diet:time"	0.840737544619791	0.208158504803863	5.36956788867942e-05	0.0496531072018749	0.000107388474547657	0.0558152647884638	"prevalence"	140	86
"THISYNARA.PWY..superpathway.of.thiamine.diphosphate.biosynthesis.III..eukaryotes..g__Bacteroides.s__Bacteroides_xylanisolvens"	"time"	"time"	"time"	0.79393751285907	0.196665234719188	5.41391154242432e-05	0.0496531072018749	0.000108275299804667	0.0558152647884638	"prevalence"	140	47
"ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose."	"diet"	"diet"	"diet"	-0.0252446822821849	0.0137991171421936	5.50313021319138e-05	0.049840474558321	5.50313021319138e-05	0.0318185039596765	"abundance"	140	140
"THISYNARA.PWY..superpathway.of.thiamine.diphosphate.biosynthesis.III..eukaryotes..g__Dorea.s__Dorea_longicatena"	"diet"	"time"	"diet:time"	0.618490766320544	0.1489558242651	5.76707718829006e-05	0.0515861494568356	0.000115338217847872	0.0580978875597502	"abundance"	140	39
"PWY.5367..petroselinate.biosynthesis"	"diet"	"diet"	"diet"	-1.00838898267894	0.25241206927136	6.46912607735284e-05	0.0564715735913882	0.000129378336587836	0.062197545047721	"prevalence"	140	107
"PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli."	"diet"	"diet"	"diet"	-1.00838898267894	0.25241206927136	6.46912607735284e-05	0.0564715735913882	0.000129378336587836	0.062197545047721	"prevalence"	140	107
"DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis"	"time"	"time"	"time"	0.0281543260467035	0.0126490209522785	7.01176505446544e-05	0.0604798125305046	7.01176505446544e-05	0.0400007172827144	"abundance"	140	140
"PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing..g__Eubacterium.s__Eubacterium_ramulus"	"diet"	"diet"	"diet"	-0.772140070296803	0.194964467120137	7.48198306076493e-05	0.0637764236099603	0.000149634063208247	0.0703543189937147	"prevalence"	140	92
"PWY.7199..pyrimidine.deoxyribonucleosides.salvage"	"diet"	"time"	"diet:time"	0.00247292743721519	0.0155218912066443	7.92614729275831e-05	0.0667768692964547	7.92614729275831e-05	0.0440426153335009	"abundance"	140	140
"HISTSYN.PWY..L.histidine.biosynthesis.g__Blautia.s__Blautia_sp"	"diet"	"time"	"diet:time"	0.707912040907875	0.179830507981722	8.26609160663569e-05	0.0688403909502508	0.000165314999305669	0.0752464634073654	"prevalence"	140	66
"CALVIN.PWY..Calvin.Benson.Bassham.cycle"	"diet"	"time"	"diet:time"	0.0104884291912264	0.0177025994378894	8.66454888996948e-05	0.071338775599301	8.66454888996948e-05	0.0468047973014001	"abundance"	140	140
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_finegoldii"	"time"	"time"	"time"	-0.858730218987055	0.176645606735477	9.80729805166725e-05	0.0798402216893819	0.000196136342723838	0.0872765063602171	"abundance"	140	27
"UNINTEGRATED.g__Clostridium.s__Clostridium_sp_CAG_798"	"time"	"time"	"time"	1.72281193952904	0.334214560681829	0.000100286236599967	0.0803977263936575	0.000200562415870682	0.0872765063602171	"abundance"	140	18
"PWY.6892..thiazole.component.of.thiamine.diphosphate.biosynthesis.I.g__Bacteroides.s__Bacteroides_xylanisolvens"	"time"	"time"	"time"	0.767189168966549	0.197310542448389	0.000100977076515069	0.0803977263936575	0.000201943956660157	0.0872765063602171	"prevalence"	140	50
"ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis"	"diet"	"diet"	"diet"	-0.319925007017183	0.0889176723319598	0.000102160541446628	0.0804558681518908	0.000204310646117026	0.0874163530476309	"abundance"	140	138
"PWY.5130..2.oxobutanoate.degradation.I.unclassified"	"diet"	"time"	"diet:time"	0.657166627826465	0.16149157426597	0.000106734009726495	0.0814032204286678	0.000213456627304157	0.0878168774599582	"abundance"	140	34
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-0.335590402145672	0.092839086357382	0.000106209644036959	0.0814032204286678	0.000212408007585431	0.0878168774599582	"abundance"	140	128
"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine..g__Blautia.s__Blautia_sp"	"diet"	"time"	"diet:time"	0.768673977433069	0.198157534862396	0.000104841293377781	0.0814032204286678	0.000209671595058765	0.0878168774599582	"prevalence"	140	81
"PWY.7345..superpathway.of.anaerobic.sucrose.degradation"	"diet"	"time"	"diet:time"	0.0592717413432249	0.0305891785840955	0.00011541907265411	0.0862120978358858	0.00011541907265411	0.0580978875597502	"abundance"	140	140
"UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I.g__Clostridium.s__Clostridium_sp_CAG_798"	"time"	"time"	"time"	1.43525392450133	0.276789528298615	0.000115167157905272	0.0862120978358858	0.000230321052336283	0.090408408672112	"abundance"	140	17
"PWY.6549..L.glutamine.biosynthesis.III"	"diet"	"time"	"diet:time"	0.207722809083696	0.0684060945184799	0.000122751247083053	0.0907532536342398	0.000122751247083053	0.0610701727639011	"abundance"	140	140
"PWY.6151..S.adenosyl.L.methionine.salvage.I"	"diet"	"time"	"diet:time"	0.0149250105786766	0.0193270410800514	0.000127157446163872	0.093061268730881	0.000127157446163872	0.062197545047721	"abundance"	140	140
"PWY.6731..starch.degradation.III.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-0.533998066944864	0.144476843717618	0.000133211555424229	0.0953883385854197	0.000266405365529958	0.100793090061064	"abundance"	140	123
"PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..g__Eubacterium.s__Eubacterium_ramulus"	"diet"	"diet"	"diet"	-0.744464243155493	0.194964467120136	0.000134286727243669	0.0953883385854197	0.000268555421562225	0.100793090061064	"prevalence"	140	93
"SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I.g__Blautia.s__Blautia_sp"	"diet"	"time"	"diet:time"	0.719846329309256	0.188409147612331	0.00013309779129202	0.0953883385854197	0.000266177867561994	0.100793090061064	"prevalence"	140	79
"POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I"	"diet"	"diet"	"diet"	-0.334202651914966	0.0943067312170994	0.000135983539405915	0.0956558384865647	0.000271948587288841	0.101179063093394	"abundance"	140	138
"PWY.7953..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.III..meso.diaminopimelate.containing."	"time"	"time"	"time"	0.0242241243359862	0.0122161643039237	0.000139017402046693	0.0968496812297219	0.000139017402046693	0.0660888729329977	"abundance"	140	140
"PWY.6823..molybdopterin.biosynthesis.g__Dorea.s__Dorea_longicatena"	"diet"	"diet"	"diet"	-0.694482175165883	0.182631547156344	0.000143161845507706	0.0987871271849077	0.000286303195701402	0.105601452855864	"prevalence"	140	56
"PWY.6703..preQ0.biosynthesis.g__Eubacterium.s__Eubacterium_ramulus"	"time"	"time"	"time"	0.424688127898287	0.113128305094371	0.000144823316916787	0.098990835885744	0.000289625660040451	0.1059138759871	"abundance"	140	82
"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine."	"diet"	"time"	"diet:time"	0.023141275752754	0.0217579634191683	0.000153973811934272	0.102867157097924	0.000153973811934272	0.0708378872840832	"abundance"	140	140
"PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing."	"time"	"time"	"time"	0.0246889007670355	0.0125263038973953	0.000152412881194053	0.102867157097924	0.000152412881194053	0.0708378872840832	"abundance"	140	140
"PWY66.409..superpathway.of.purine.nucleotide.salvage"	"diet"	"diet"	"diet"	-0.305994355317467	0.0886764612657179	0.00017443195777489	0.108950802315706	0.00017443195777489	0.0785604815300678	"abundance"	140	140
"TRNA.CHARGING.PWY..tRNA.charging"	"time"	"time"	"time"	0.0279045277388725	0.0136336141101942	0.000199672663270478	0.118582648726223	0.000199672663270478	0.0872765063602171	"abundance"	140	140
"PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation"	"diet"	"diet"	"diet"	-0.311375085594504	0.091216140267104	0.000208772242899613	0.122978732415029	0.000208772242899613	0.0878168774599582	"abundance"	140	140
"ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose."	"diet"	"time"	"diet:time"	-0.00811768696986728	0.0138486664528139	0.000220241243341746	0.123834398342516	0.000220241243341746	0.0880676807254199	"abundance"	140	140
