EC,EnzymeName
1.14.13.24,3-hydroxybenzoate 6-monooxygenase
1.14.13.39,"nitric-oxide synthase, brain"
1.14.13.48,(S)-limonene 6-monooxygenase
1.14.13.49,(S)-limonene 7-monooxygenase
1.14.13.59,lysine N6-hydroxylase
1.14.13.7,phenol 2-monooxygenase (NADPH)
1.14.13.81,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
1.14.13.9,kynurenine 3-monooxygenase
1.14.14.10,nitrilotriacetate monooxygenase
1.14.14.18,heme oxygenase 1
1.14.14.3,alkanal monooxygenase alpha chain
1.14.14.5,alkanesulfonate monooxygenase
1.14.14.51,(S)-limonene 6-monooxygenase
1.14.14.9,4-hydroxyphenylacetate 3-monooxygenase
1.14.99.3,heme oxygenase (biliverdin-producing)
1.14.99.36,"beta-carotene 15,15'-dioxygenase."
1.14.99.44,diapolycopene oxygenase
1.14.99.46,pyrimidine oxygenase
1.15.1.1,nickel superoxide dismutase
1.15.1.2,superoxide reductase
1.16.1.1,mercuric reductase
1.16.1.3,aquacobalamin reductase
1.16.1.9,ferric-chelate reductase (NADPH)
1.16.3.1,ferritin heavy chain
1.16.3.2,ferritin
1.16.8.1, corrinoid adenosyltransferase
1.17.1.2,Transferred to 1.17.7.4
1.17.1.4,xanthine dehydrogenase molybdenum-binding subunit
1.17.1.5,nicotinate dehydrogenase FAD-subunit
1.17.1.8,4-hydroxy-tetrahydrodipicolinate reductase
1.17.1.9,formate dehydrogenase
1.17.2.1,nicotinate dehydrogenase subunit A
1.17.4.1,ribonucleoside-diphosphate reductase alpha chain
1.17.4.2,"ribonucleotide reductase, class II"
1.17.5.2,caffeine dehydrogenase subunit alpha
1.17.5.3,"formate dehydrogenase-N, alpha subunit"
1.17.7.1,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
1.17.7.3,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
1.17.7.4,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase
1.17.98.1,bile-acid 7alpha-dehydroxylase
1.17.99.5,bile-acid 7alpha-dehydroxylase.
1.17.99.6,epoxyqueuosine reductase
1.17.99.7,formate dehydrogenase (hydrogenase).
1.18.1.1,rubredoxin---NAD+ reductase
1.18.1.2,ferredoxin/flavodoxin---NADP+ reductase
1.18.1.3,3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component
1.18.1.6,adrenodoxin-NADP+ reductase
1.18.6.1,nitrogenase delta subunit
1.19.1.1,ferredoxin/flavodoxin---NADP+ reductase
1.2.1.10,acetaldehyde dehydrogenase (acetylating)
1.2.1.11,aspartate-semialdehyde dehydrogenase
1.2.1.12,glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)
1.2.1.16,succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase
1.2.1.19,aminobutyraldehyde dehydrogenase
1.2.1.2,formate dehydrogenase
1.2.1.20,succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase
1.2.1.21,lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase
1.2.1.22,lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase
1.2.1.24,succinate-semialdehyde dehydrogenase
1.2.1.27,malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase
1.2.1.28,benzaldehyde dehydrogenase (NAD)
1.2.1.3,aldehyde dehydrogenase (NAD+)
1.2.1.31,aldehyde dehydrogenase family 7 member A1
1.2.1.32,aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase
1.2.1.38,N-acetyl-gamma-glutamyl-phosphate reductase
1.2.1.39,phenylacetaldehyde dehydrogenase
1.2.1.41,glutamate-5-semialdehyde dehydrogenase
1.2.1.46,glutathione-independent formaldehyde dehydrogenase
1.2.1.5,aldehyde dehydrogenase (NAD(P)+)
1.2.1.50,long-chain-fatty-acyl-CoA reductase
1.2.1.51,pyruvate dehydrogenase (NADP+)
1.2.1.58,phenylglyoxylate dehydrogenase alpha subunit
1.2.1.59,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating)
1.2.1.60,5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase
1.2.1.62,4-formylbenzenesulfonate dehydrogenase
1.2.1.68,coniferyl-aldehyde dehydrogenase
1.2.1.70,glutamyl-tRNA reductase
1.2.1.71,succinylglutamic semialdehyde dehydrogenase
1.2.1.72,D-erythrose 4-phosphate dehydrogenase
1.2.1.76,malonyl-CoA/succinyl-CoA reductase (NADPH)
1.2.1.77,"3,4-dehydroadipyl-CoA semialdehyde dehydrogenase"
1.2.1.79,succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase
1.2.1.8,betaine-aldehyde dehydrogenase
1.2.1.87,propionaldehyde dehydrogenase
1.2.1.88,1-pyrroline-5-carboxylate dehydrogenase
1.2.1.9,glyceraldehyde-3-phosphate dehydrogenase (NADP+)
1.2.1.91,"oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase"
1.2.2.1,formate dehydrogenase (cytochrome)
1.2.2.2,pyruvate dehydrogenase (cytochrome)
1.2.3.1,aldehyde oxidase
1.2.3.3,pyruvate oxidase
1.2.4.1,pyruvate dehydrogenase E1 component subunit alpha
1.2.4.2,2-oxoglutarate dehydrogenase E1 component
1.2.4.4,2-oxoisovalerate dehydrogenase E1 component subunit alpha
1.2.5.1,pyruvate dehydrogenase (quinone)
1.2.7.1,pyruvate ferredoxin oxidoreductase alpha subunit
1.2.7.3,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha
1.2.7.4,"anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha"
1.2.7.5,aldehyde:ferredoxin oxidoreductase
1.2.7.7,2-oxoisovalerate ferredoxin oxidoreductase alpha subunit
1.2.7.8,"indolepyruvate ferredoxin oxidoreductase, alpha subunit"
1.2.98.1,formaldehyde dismutase / methanol dehydrogenase
1.2.99.2,carbon-monoxide dehydrogenase (ferredoxin)
1.2.99.3,aldehyde dehydrogenase (quinone)
1.2.99.5,formylmethanofuran dehydrogenase
1.2.99.6,carboxylate reductase
1.2.99.7,aldehyde oxidoreductase
1.20.1.1,phosphonate dehydrogenase
1.20.4.1,arsenate reductase (glutaredoxin)
1.20.4.3,mycoredoxin
1.20.4.4,arsenate reductase (thioredoxin)
1.20.9.1,arsenite oxidase small subunit
1.21.4.1,D-proline reductase (dithiol) PrdA
1.21.4.2,glycine/sarcosine/betaine reductase complex component A
1.21.4.3,glycine/sarcosine/betaine reductase complex component A
1.21.4.4,glycine/sarcosine/betaine reductase complex component A
1.21.98.1,cyclic dehypoxanthinyl futalosine synthase
1.21.98.4,PqqA peptide cyclase
1.3.1.1,dihydropyrimidine dehydrogenase (NAD+) subunit PreT
1.3.1.10,enoyl-[acyl-carrier protein] reductase I
1.3.1.101,digeranylgeranylglycerophospholipid reductase
1.3.1.114,"3-dehydro-bile acid Delta4,6-reductase"
1.3.1.12,cyclohexadieny/prephenate dehydrogenase
1.3.1.13,prephenate dehydrogenase (NADP+)
1.3.1.14,dihydroorotate dehydrogenase (NAD+) catalytic subunit
1.3.1.2,dihydropyrimidine dehydrogenase (NADP+)
1.3.1.20,dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)
1.3.1.25,dihydroxycyclohexadiene carboxylate dehydrogenase
1.3.1.26,4-hydroxy-tetrahydrodipicolinate reductase.
1.3.1.28,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"
1.3.1.31,2-enoate reductase
1.3.1.34,"2,4-dienoyl-CoA reductase (NADPH2)"
1.3.1.38,mitochondrial enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase
1.3.1.43,cyclohexadieny/prephenate dehydrogenase
1.3.1.44,enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+)
1.3.1.54,precorrin-6A/cobalt-precorrin-6A reductase
1.3.1.6,NADH-dependent fumarate reductase subunit A
1.3.1.74,2-alkenal reductase
1.3.1.76,uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase
1.3.1.84,acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase
1.3.1.87,"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase"
1.3.1.89,tRNA-dihydrouridine synthase 3
1.3.1.9,enoyl-[acyl-carrier protein] reductase I
1.3.1.91,tRNA-dihydrouridine synthase 2
1.3.1.95,acrylyl-CoA reductase (NADH)
1.3.1.98,UDP-N-acetylmuramate dehydrogenase
1.3.1.n3,1.3.1.n3
1.3.3.1,dihydroorotate oxidase
1.3.3.11,pyrroloquinoline-quinone synthase
1.3.3.13,albonoursin synthase
1.3.3.3,coproporphyrinogen III oxidase
1.3.3.4,protoporphyrinogen/coproporphyrinogen III oxidase
1.3.3.5,bilirubin oxidase
1.3.5.1,succinate dehydrogenase flavoprotein subunit
1.3.5.2,dihydroorotate dehydrogenase
1.3.5.3,menaquinone-dependent protoporphyrinogen oxidase
1.3.5.4,fumarate reductase
1.3.7.1,6-hydroxynicotinate reductase
1.3.7.11,digeranylgeranylglycerophospholipid reductase
1.3.7.7,light-independent protochlorophyllide reductase subunit L
1.3.7.8,benzoyl-CoA reductase subunit C
1.3.7.9,4-hydroxybenzoyl-CoA reductase.
1.3.8.1,butyryl-CoA dehydrogenase
1.3.8.13,crotonobetainyl-CoA dehydrogenase
1.3.8.2,"4,4'-diapophytoene desaturase"
1.3.8.6,glutaryl-CoA dehydrogenase
1.3.8.7,acyl-CoA dehydrogenase
1.3.8.8,long-chain-acyl-CoA dehydrogenase
1.3.98.1,dihydroorotate dehydrogenase (fumarate)
1.3.98.3,oxygen-independent coproporphyrinogen III oxidase
1.3.99.1,succinate dehydrogenase
1.3.99.2,butyryl-CoA dehydrogenase.
1.3.99.22,coproporphyrinogen dehydrogenase
1.3.99.23,"all-trans-retinol 13,14-reductase"
1.3.99.24,2-amino-4-deoxychorismate dehydrogenase
1.3.99.26,phytoene desaturase
1.3.99.28,phytoene desaturase
1.3.99.29,phytoene desaturase
1.3.99.3,acyl-CoA dehydrogenase
1.3.99.31,phytoene desaturase
1.3.99.33,urocanate reductase
1.3.99.4,3-oxosteroid 1-dehydrogenase
1.3.99.5,3-oxo-5alpha-steroid 4-dehydrogenase
1.4.1.1,alanine dehydrogenase
1.4.1.11,"L-erythro-3,5-diaminohexanoate dehydrogenase"
1.4.1.13,glutamate synthase (NADPH) large chain
1.4.1.14,glutamate synthase (NADH)
1.4.1.16,diaminopimelate dehydrogenase
1.4.1.2,glutamate dehydrogenase
1.4.1.21,aspartate dehydrogenase
1.4.1.24,3-dehydroquinate synthase II
1.4.1.3,glutamate dehydrogenase (NAD(P)+)
1.4.1.4,glutamate dehydrogenase (NADP+)
1.4.1.9,leucine dehydrogenase
1.4.3.1,D-aspartate oxidase
1.4.3.10,putrescine oxidase
1.4.3.16,L-aspartate oxidase
1.4.3.19,glycine oxidase
1.4.3.21,primary-amine oxidase
1.4.3.4,monoamine oxidase
1.4.3.5,pyridoxamine 5'-phosphate oxidase
1.4.4.2,glycine cleavage system P protein (glycine dehydrogenase)
1.4.7.1,glutamate synthase (ferredoxin)
1.4.99.1,D-amino-acid dehydrogenase
1.4.99.5,hydrogen cyanide synthase HcnA
1.4.99.6,D-arginine dehydrogenase
1.5.1.12,L-glutamate gamma-semialdehyde dehydrogenase.
1.5.1.2,pyrroline-5-carboxylate reductase
1.5.1.20,methylenetetrahydrofolate reductase [NAD(P)H]
1.5.1.24,N5-(carboxyethyl)ornithine synthase
1.5.1.28,opine dehydrogenase
1.5.1.3,dihydrofolate reductase
1.5.1.30,biliverdin reductase / flavin reductase
1.5.1.34,dihydropteridine reductase
1.5.1.36,flavin reductase (NADH)
1.5.1.38,FMN reductase
1.5.1.39,FMN reductase [NAD(P)H]
1.5.1.41,NAD(P)H-flavin reductase
1.5.1.42,nitrilotriacetate monooxygenase reductase component
1.5.1.43,carboxynorspermidine synthase
1.5.1.5,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase
1.5.1.7,"saccharopine dehydrogenase (NAD+, L-lysine forming)"
1.5.1.8,alpha-aminoadipic semialdehyde synthase
1.5.1.9,alpha-aminoadipic semialdehyde synthase
1.5.3.1,sarcosine oxidase
1.5.3.2,N-methyl-L-amino-acid oxidase
1.5.5.1,electron-transferring-flavoprotein dehydrogenase
