feature	Actinobacteria	Bacteria_unclassified	Bacteroidetes	Candidatus_Melainabacteria	Euryarchaeota	Firmicutes	Proteobacteria	Tenericutes	Verrucomicrobia	Other
MM2317	-3.91979445391723	-6.52379756718331	-2.06605889420729	NA	-10.2166375159634	-0.577202742956123	-6.65857566461404	-9.54452188223277	-10.0198782858768	-10.0475520228607
MM2328	-3.2498121108302	NA	-3.21937956619942	NA	NA	-0.348610688649699	-9.46640976258179	NA	-11.4635549587425	-11.288794229713
MO1363	-2.47782588080603	-14.0222760605783	-2.5656149961263	-11.9164329026047	-5.52723916141745	-0.708026963372024	-6.12694399804049	-10.8206943849376	-8.92125085146308	-11.0109185518381
MO2363	-3.23916965158952	-13.4639630192412	-2.55416568112186	-6.98281808151674	-6.99461783495132	-0.520677332796558	-6.8805636053696	-13.712400048862	-8.91455141234098	-11.6150607502211
MR1322	-4.47792261219614	-7.50753440164228	-3.04568363453001	NA	NA	-0.272006721161699	-11.610543306348	NA	NA	-14.6685350291071
MR1334	-3.17264213459938	-11.9727253170028	-2.80232925512527	-13.0575087891049	-6.49107511611583	-0.510788016408944	-6.24575702445623	-8.11154862881778	-6.04275816481229	-11.0920492396154
MR2322	-3.99276100379471	-7.72434081224502	-2.73913333213821	NA	NA	-0.355250821906868	-10.5957317732157	NA	NA	-11.6922088633162
MR2334	-2.90162363291009	-11.0961487189618	-3.2673300164819	-10.0613569821737	-6.44703413931161	-0.437879192548596	-7.43598731019511	-9.45938444324775	-8.13715169308719	-10.9623249550028
MS1330	-4.91376436146644	NA	-1.30516501494413	-10.9808671677741	NA	-0.844819957657268	-8.14448253331154	-12.36019542189	-10.1502091443385	-11.8494198165093
MS1370	-2.62386181877723	-9.98261751315225	-4.51290240763195	-9.47449569703414	NA	-0.357651053531205	-7.67047282212346	-14.8568920272992	-7.70365198939218	-9.48159472778332
MS2330	-4.54251846534884	NA	-1.25072427255416	-9.46732886765182	NA	-0.918776267909765	-7.4976438513448	NA	-12.7358269875387	-10.2841098543302
MS2370	-2.62583735909056	-10.1141053380618	-2.27086663742725	-13.3662761930126	NA	-0.721499569551167	-5.57507547694149	-20.0835718070387	NA	-8.73773538104712
MV1301	-3.98322458662918	NA	-2.75930558750186	NA	NA	-0.364676383990705	-8.8629922319401	NA	-7.09935145321168	-8.38539799986527
MV2301	-4.43565138880926	NA	-1.98155297900797	NA	NA	-0.53201867606145	-7.73073154108661	NA	NA	-7.86861204490221
NK1335	-4.0520917105433	-7.23533866324928	-2.92178128957656	NA	NA	-0.339657282797431	-7.78026526650854	NA	-7.36491857666937	-11.8483539026491
NK2335	-3.53485538365786	-7.36477748264528	-3.22649810781943	NA	NA	-0.339379752026696	-6.86116275766597	NA	-9.09134168634232	NA
PH1308	-4.08868229012886	-10.9105879090723	-2.25019215825989	-12.2138914249101	-14.3647526939656	-0.499362201852703	-6.30083431178438	NA	-6.6446347341698	-12.6601048200721
PH1339	-3.89759560296102	-11.0661451680889	-2.86921833225895	-12.0501492383097	-5.47204147083476	-0.416239475800628	-5.77202888558839	-12.8948460403966	-8.68488791929687	-8.60205307919554
PH1359	-2.58665100899603	-15.1242135029971	-2.5194501526594	-13.7961156408695	-5.56235961189684	-0.678833704995678	-7.74737492904944	-9.44433131457015	-7.18543204210491	-12.0936251831636
