feature	Actinobacteria	Bacteria_unclassified	Bacteroidetes	Candidatus_Melainabacteria	Euryarchaeota	Firmicutes	Proteobacteria	Tenericutes	Verrucomicrobia	Other
SO2346	0.0773394850734336	NA	0.108897819787602	NA	NA	0.807851088636197	0.00574430631873695	NA	0.000154500169950187	1.28000140800155e-05
TJ2356	0.0651378804586358	0.00379519886144034	0.44777646566706	0.00127359961792011	0.0011301996609401	0.458687862393641	0.0208753937373819	NA	0.0011360996591701	0.000187299943810017
TK2342	0.0650794260317704	0.000533900213560085	0.120746548298619	0.000452800181120072	0.0318949127579651	0.727530291012117	0.0480072192028877	0.00370670148268059	0.000790000316000126	0.0012582005032802
TL2338	0.126712538013761	0.00646600193980058	0.103398631019589	NA	NA	0.747764924329477	0.00437470131241039	0.000119900035970011	0.0105369031610709	0.000626400187920056
AH1343	0.0443387	NA	0.120336	0.0096267	NA	0.7785426	0.0229613	NA	0.023954	0.0002407
AK1351	0.0494557752721124	NA	0.24069627965186	NA	NA	0.692224053887973	0.0176238911880544	NA	NA	NA
AM1314	0.0671417	NA	0.1243484	0.0049016	NA	0.7976655	0.0051895	NA	NA	0.000753300000000001
AN1355	0.0581217116243423	NA	0.487773297554659	NA	NA	0.403195580639116	0.0192790038558008	NA	0.0300368060073612	0.00159360031872006
AS1315	0.108032524377233	NA	0.135712805001036	NA	NA	0.753677972425419	0.00222809844033109	NA	NA	0.000348599755980171
EK1349	0.0306853061370612	NA	0.211194142238829	NA	NA	0.735569747113949	0.00600550120110024	NA	NA	0.0165453033090607
ET1331	0.156659593995757	NA	0.0911150546690329	NA	NA	0.738874243324546	0.0010949006569404	NA	NA	0.0122562073537244
HL1333	0.0955826191165238	0.00691880138376027	0.143997828799566	NA	NA	0.73916464783293	0.00548270109654022	8.43000168600033e-05	0.00876910175382035	NA
HN1327	0.241982427405272	NA	0.149146855255943	NA	NA	0.605070418478875	0.00380029885991034	NA	NA	NA
HT1321	0.0736436441861865	0.0104972062983238	0.225577535346521	0.000165300099180059	0.0122936073761644	0.63983108389865	0.0251763151057891	0.00113980068388041	0.00868010520806312	0.00299540179724108
IM1354	0.0507187847843646	0.00124429962671011	0.326582802025159	NA	NA	0.615442715367185	0.00548919835324049	NA	NA	0.000522199843340047
JA1369	0.0776744310697725	0.000296300118520048	0.0907917363166945	0.000452700181080073	NA	0.778675011470005	0.00420320168128067	NA	0.0471512188604876	0.000755400302160121
